Date,Open,High,Low,Close,Volume,Ticker,ATR_14,RSI_14,P/E,Market_Cap,MA20,MA200,Sector
2025-03-13,334.42,339.018,330.081,331.713,2490300,CAT,10.012,37.136,19.417,187387609088,341.159,357.217,Industrials
2025-03-14,336.102,340.351,335.335,338.013,1936100,CAT,9.829,47.382,19.417,187387609088,340.459,357.19,Industrials
2025-03-17,338.112,342.71,337.376,340.998,1683800,CAT,9.229,51.688,19.417,187387609088,339.928,357.19,Industrials
2025-03-18,340.361,340.361,333.743,335.097,3310000,CAT,8.966,43.558,19.417,187387609088,339.067,357.202,Industrials
2025-03-19,335.315,340.361,335.057,336.997,2407200,CAT,8.478,46.675,19.417,187387609088,338.352,357.218,Industrials
2025-03-20,332.967,338.152,332.011,334.639,2782900,CAT,8.166,43.255,19.417,187387609088,337.71,357.226,Industrials
2025-03-21,329.623,334.34,327.632,334.171,6766100,CAT,8.012,42.542,19.417,187387609088,337.498,357.266,Industrials
2025-03-24,338.918,341.506,337.664,340.033,2277200,CAT,7.921,53.605,19.417,187387609088,337.635,357.355,Industrials
2025-03-25,341.934,343.158,339.197,340.978,1678000,CAT,7.393,55.21,19.417,187387609088,337.648,357.439,Industrials
2025-03-26,341.715,345.606,337.167,339.475,1703200,CAT,7.533,51.916,19.417,187387609088,337.575,357.521,Industrials
2025-03-27,339.446,340.361,335.017,337.674,1481100,CAT,7.241,47.959,19.417,187387609088,337.54,357.591,Industrials
2025-03-28,335.385,336.629,326.478,328.11,1965200,CAT,7.768,32.692,19.417,187387609088,336.83,357.61,Industrials
2025-03-31,324.07,330.389,320.457,328.22,2837500,CAT,8.057,32.974,19.417,187387609088,336.719,357.641,Industrials
2025-04-01,325.443,330.618,322.338,328.986,1955300,CAT,8.087,35.167,19.417,187387609088,336.909,357.668,Industrials
2025-04-02,324.567,334.738,324.537,333.056,1747600,CAT,8.369,45.993,19.417,187387609088,336.718,357.728,Industrials
2025-04-03,318.138,323.144,303.538,304.295,4638700,CAT,11.188,19.476,19.417,187387609088,334.964,357.667,Industrials
2025-04-04,283.634,292.88,280.151,286.7,7216800,CAT,12.916,13.843,19.417,187387609088,331.868,357.515,Industrials
2025-04-07,274.677,292.94,266.019,278.718,7824700,CAT,14.783,12.023,19.417,187387609088,328.626,357.309,Industrials
2025-04-08,288.501,290.382,266.984,272.627,4989000,CAT,15.932,10.775,19.417,187387609088,325.35,357.052,Industrials
2025-04-09,269.463,300.414,267.84,299.568,6457300,CAT,18.151,41.667,19.417,187387609088,323.503,356.937,Industrials
2025-04-10,295.258,296.841,278.459,287.774,4116800,CAT,18.545,35.465,19.417,187387609088,321.306,356.753,Industrials
2025-04-11,287.565,293.994,282.778,292.044,3197900,CAT,17.568,39.242,19.417,187387609088,319.008,356.602,Industrials
2025-04-14,297.239,301.031,294.293,296.691,2758400,CAT,16.424,43.404,19.417,187387609088,316.793,356.478,Industrials
2025-04-15,295.408,300.284,290.989,292.024,3611300,CAT,15.473,40.212,19.417,187387609088,314.639,356.327,Industrials
2025-04-16,291.307,294.313,286.232,288.75,3017200,CAT,14.488,37.953,19.417,187387609088,312.227,356.132,Industrials
2025-04-17,290.77,296.273,290.501,292.84,2716400,CAT,13.559,42.601,19.417,187387609088,310.137,355.977,Industrials
2025-04-21,289.33,291.0,282.46,284.74,2978300,CAT,13.135,36.375,19.417,187387609088,307.665,355.788,Industrials
2025-04-22,287.5,293.23,287.0,291.17,2231200,CAT,12.516,43.887,19.417,187387609088,305.222,355.617,Industrials
2025-04-23,301.34,305.36,295.18,295.77,2458300,CAT,12.739,48.869,19.417,187387609088,302.962,355.48,Industrials
2025-04-24,297.43,308.21,297.07,306.86,2874400,CAT,12.699,58.997,19.417,187387609088,301.331,355.396,Industrials
2025-04-25,305.1,307.99,303.91,306.45,2162400,CAT,11.55,58.503,19.417,187387609088,299.77,355.324,Industrials
2025-04-28,306.45,311.43,303.85,307.06,2189600,CAT,11.021,59.091,19.417,187387609088,298.717,355.243,Industrials
2025-04-29,305.0,308.67,302.91,307.4,2651000,CAT,10.319,59.461,19.417,187387609088,297.676,355.151,Industrials
2025-04-30,315.21,316.05,302.18,309.27,5124800,CAT,10.793,61.66,19.417,187387609088,296.69,355.046,Industrials
2025-05-01,311.38,318.89,311.02,313.96,2961000,CAT,10.636,66.862,19.417,187387609088,295.736,354.915,Industrials
2025-05-02,318.48,324.67,318.48,323.68,3765200,CAT,10.646,74.979,19.417,187387609088,296.705,354.759,Industrials
2025-05-05,319.38,326.47,319.38,323.11,1829100,CAT,10.172,73.757,19.417,187387609088,298.525,354.614,Industrials
2025-05-06,321.55,324.1,319.85,320.89,1724200,CAT,9.382,68.721,19.417,187387609088,300.634,354.467,Industrials
2025-05-07,322.74,322.8,318.11,320.29,1555500,CAT,8.757,67.289,19.417,187387609088,303.017,354.358,Industrials
2025-05-08,324.88,328.87,322.9,324.25,2553400,CAT,8.733,71.77,19.417,187387609088,304.251,354.261,Industrials
2025-05-09,325.65,327.74,323.31,325.62,1646200,CAT,8.159,73.234,19.417,187387609088,306.143,354.188,Industrials
2025-05-12,343.11,351.0,339.73,342.55,4592000,CAT,10.455,84.612,19.417,187387609088,308.669,354.241,Industrials
2025-05-13,348.93,355.33,348.07,352.54,4132500,CAT,10.765,88.066,19.417,187387609088,311.461,354.303,Industrials
2025-05-14,351.72,352.43,348.78,349.66,2052200,CAT,9.831,81.947,19.417,187387609088,314.343,354.32,Industrials
2025-05-15,349.44,351.34,348.5,349.81,1580400,CAT,8.899,82.022,19.417,187387609088,317.396,354.367,Industrials
2025-05-16,351.54,354.22,348.24,353.58,2561700,CAT,8.51,83.957,19.417,187387609088,320.433,354.447,Industrials
2025-05-19,349.7,352.96,348.54,352.57,2277700,CAT,8.047,81.254,19.417,187387609088,323.824,354.499,Industrials
2025-05-20,350.84,352.46,347.49,349.49,2266000,CAT,7.652,72.987,19.417,187387609088,326.74,354.609,Industrials
2025-05-21,346.64,348.42,341.65,342.51,2093400,CAT,7.677,57.649,19.417,187387609088,329.077,354.736,Industrials
2025-05-22,342.0,347.37,340.59,345.19,2174100,CAT,7.557,61.256,19.417,187387609088,330.994,354.897,Industrials
2025-05-23,337.63,344.94,336.24,343.39,1936600,CAT,7.743,57.463,19.417,187387609088,332.841,355.001,Industrials
2025-05-27,349.95,353.34,346.62,351.51,2240100,CAT,8.037,67.831,19.417,187387609088,335.063,355.15,Industrials
2025-05-28,352.49,352.8,348.86,349.49,1924400,CAT,7.491,63.396,19.417,187387609088,337.168,355.236,Industrials
2025-05-29,352.2,353.09,348.74,351.79,2290300,CAT,7.072,66.291,19.417,187387609088,339.294,355.324,Industrials
2025-05-30,351.83,353.24,347.02,348.03,4867100,CAT,6.958,57.684,19.417,187387609088,340.998,355.404,Industrials
2025-06-02,346.47,346.47,339.5,344.67,2552700,CAT,7.168,50.873,19.417,187387609088,342.047,355.454,Industrials
2025-06-03,346.0,350.84,344.92,349.4,2614300,CAT,7.035,58.779,19.417,187387609088,343.362,355.533,Industrials
2025-06-04,350.3,351.73,349.33,349.33,1616300,CAT,6.417,58.617,19.417,187387609088,344.784,355.572,Industrials
2025-06-05,351.0,351.51,345.85,348.96,1753300,CAT,6.316,57.654,19.417,187387609088,346.217,355.62,Industrials
2025-06-06,353.57,357.44,352.26,353.35,1608000,CAT,6.605,65.433,19.417,187387609088,347.672,355.685,Industrials
2025-06-09,355.22,360.46,353.93,358.07,2147100,CAT,6.672,71.849,19.417,187387609088,349.295,355.779,Industrials
2025-06-10,359.44,360.36,356.09,358.57,1894300,CAT,6.352,72.474,19.417,187387609088,350.096,355.877,Industrials
2025-06-11,360.94,364.29,357.75,363.14,2551700,CAT,6.377,77.692,19.417,187387609088,350.626,356.002,Industrials
2025-06-12,359.85,362.0,357.87,360.96,1571800,CAT,6.229,70.351,19.417,187387609088,351.191,356.085,Industrials
2025-06-13,357.23,360.38,355.7,357.05,1609600,CAT,6.1,58.844,19.417,187387609088,351.553,356.136,Industrials
